,AverageTradePrice,BuyQuantity,Close,Exchange,ExchangeType,High,LastQuantity,LastTradeTime,LastTradedPrice,Low,NetChange,Open,OpenInterest,Scripcode,SellQuantity,TotalBuyQuantity,TotalSellQuantity,Volume,Name,FullName
129,405.37,0,406.25,N,C,410.75,10,/Date(1695637787000)/,408.6,400.45,2.35000000000002,406.25,0,1512,2633,0,2633,3601670,INDHOTEL,THE INDIAN HOTELS CO. LTD
130,232.68,391,233.5,N,C,235.75,24,/Date(1695637686000)/,232.8,229.7,-0.699999999999989,234,0,1515,0,391,0,1838792,INDIACEM,THE INDIA CEMENTS LIMITED
131,703.65,70,691,N,C,714.95,1,/Date(1695636614000)/,702.85,691.3,11.85,694,0,1521,0,70,0,98655,INDIAGLYCO,INDIA GLYCOLS LTD
132,1840.25,439,1832.2,N,C,1874.5,5,/Date(1695637185000)/,1855.2,1823.65,23,1832.2,0,1570,0,439,0,168057,GMMPFAUDLR,GMM PFAUDLER LIMITED
133,6007.32,0,5995.55,N,C,6085.5,7,/Date(1695635987000)/,5999.85,5980,4.30000000000018,6070,0,1576,80,0,80,49107,GILLETTE,GILLETTE INDIA LTD
134,84.77,0,84.75,N,C,86.15,1,/Date(1695637107000)/,84.65,83.6,-0.0999999999999943,84.6,0,1581,250,0,250,484214,TARC,TARC LIMITED
135,1478.07,42,1496.15,N,C,1489.85,54,/Date(1695637642000)/,1474.15,1471.55,-22,1489.85,0,1594,0,42,0,4217863,INFY,INFOSYS LIMITED
136,2970.79,5,2986.7,N,C,3001.4,10,/Date(1695637025000)/,2958.6,2946.45,-28.0999999999999,2976.05,0,1597,0,5,0,11515,INGERRAND,INGERSOLL-RAND INDIA LTD
137,1094.92,0,1096.45,N,C,1108,8,/Date(1695635997000)/,1090.15,1084.1,-6.29999999999995,1099.05,0,1614,10,0,10,6281,FAIRCHEMOR,FAIRCHEM ORGANICS LIMITED
138,2954.0,0,2797.1,N,C,3025,34,/Date(1695637562000)/,2967.4,2808.05,170.3,2812,0,1621,4056,0,4056,1450198,TATAINVEST,TATA INVESTMENT CORP LTD
139,92.1,0,92.25,N,C,92.6,1,/Date(1695637694000)/,91.95,91.8,-0.299999999999997,92.5,0,1624,2558,0,2558,10885789,IOC,INDIAN OIL CORP LTD
140,5878.52,0,5930.4,N,C,5946.45,3,/Date(1695637487000)/,5872.3,5833.95,-58.0999999999995,5920,0,1627,28,0,28,22842,LINDEINDIA,LINDE INDIA LIMITED
141,892.46,0,894.25,N,C,901.15,65,/Date(1695635997000)/,892.2,887.8,-2.04999999999995,895,0,1633,5,0,5,135256,IPCALAB,IPCA LABORATORIES LTD
142,807.05,29,807.9,N,C,815,12,/Date(1695635998000)/,806.25,801.3,-1.64999999999998,807.85,0,1639,0,29,0,71793,TATASTLLP,TATA STEEL LONG PRO LTD
143,441.75,28,443.1,N,C,444.8,20,/Date(1695637800000)/,442.6,438.35,-0.5,443.1,0,1660,0,28,0,5782955,ITC,ITC LTD
